8.04,2.16,0.14,0.1,0.13,0.1,0.03,3006.08,1152.25,128.54,11
13.35,0.96,0.12,0.12,0.11,0.09,0.03,5455.31,1181.38,96.24,11
8.42,1.16,0.22,0.06,0.11,0.1,0,4107.76,269.51,85.04,11
3.14,2.24,0.25,0.13,0.02,0.06,0.03,69.13,1057.4,90.98,11
9.49,2.26,0.35,0.18,0.1,0.14,0.04,4381.54,260.89,128.95,11
11.95,2.34,0.22,0.16,0.15,0.11,0.05,3587.47,248.52,111.6,11
2.71,0.88,0.31,0.05,0.03,0.06,0.02,99.96,550.1,34.83,11
8.69,0.81,0.06,0.09,0.1,0.12,0.00769,4189.33,810.83,79.72,11
19.87,3.07,0.18,0.13,0.13,0.13,0.08,3277.64,196.25,95.92,11
6.05,0.9,0.06,0.05,0.06,0.02,0.02,2067.56,1224.33,114.29,11
3.55,0.74,0.12,0.07,0.07,0.13,0.04,2311.6,881.46,38.07,11
4.73,1.45,0.39,0.1,0.03,0.17,0.07,113.14,876.81,85.22,11
3.62,1.85,0.24,0.14,0.08,0.04,0.02,89.35,933.4,54.09,11
7.37,1.33,0.21,0.15,0.14,0.12,0.05,3956.41,220.86,85.79,11
8.31,2.81,0.3,0.13,0.22,0.12,0.03,3291.13,243.5,84.35,11
3.23,1.19,0.22,0.07,0.02,0.04,0.02,120.98,1034.9,90.02,11
3.76,1.93,0.21,0.11,0.09,0.11,0.01,153.55,591.63,45.15,11
2.5,1.02,0.28,0.04,0.02,0.05,0.02,77.46,933.7,41.7,11
8.09,1.12,0.27,0.14,0.14,0.1,0.00971,4143.65,404.14,59.78,11
9.21,1.01,0.09,0.02,0.08,0.05,0.00491,2157.26,814.91,46.99,11
8.92,1.26,0.2,0.12,0.14,0.12,0,4219.53,422.13,77.98,11
4.47,1.22,0.19,0.02,0.02,0.08,0.03,137.64,430.78,40.82,11
9.69,2.55,0.2,0.17,0.16,0.13,0.02,4290.33,448.18,86.4,11
1.98,0.74,0.16,0.05,0.04,0.04,0.03,88.92,781.69,56.69,11
9.97,0.91,0.2,0.12,0.08,0.09,0.02,4328.56,293.1,100.72,11
3.75,2.09,0.25,0.1,0.03,0.08,0.03,110.16,1147.2,111.18,11
2.31,1.4,0.3,0.16,0.07,0.14,0.06,100.75,935.47,67.78,11
3.28,2.23,0.55,0.15,0.07,0.08,0.01,102.44,1167.55,141.89,11
10.13,1.16,0.11,0.09,0.06,0.12,0.006,3463.29,214.19,61.92,11
13.19,2.47,0.12,0.11,0.18,0.13,0.04,3158.7,282.91,91.48,11
9.98,1.3,0.07,0.08,0.07,0.15,0.02,2133.8,787.59,33.44,11
